Id,Price
4567,158261.50020789792
5925,115897.73627140868
960,134213.68540462956
3848,149928.1218963589
746,216943.5395365701
868,341420.4685164047
672,118440.33122750738
2471,198098.8576649792
4510,117920.5087183416
8354,277913.9106589954
6393,175587.87890998457
13270,227092.76816256627
5250,271569.9611054504
16751,161360.8604511801
11404,130236.49063597182
10588,347576.50034720264
14925,177449.4793326454
6791,189985.15285504304
16097,179099.92406445195
16428,333146.16695561
6945,360288.3010406533
3190,191042.66863923136
15709,432474.47631671757
13155,162667.57298537035
7675,198760.55970218946
14686,233831.1718462461
609,174890.5440271284
11155,160907.6457866974
10869,230009.86715476683
15742,184876.79893307632
9245,179592.0525455273
3340,191883.86726949766
2359,288960.13268219976
8070,191478.68637266938
13707,125084.54829159315
16079,277375.4480957902
15937,283493.5371478409
14090,166257.64426402008
9008,198292.49025518505
16384,172171.89344425604
11657,226861.2617504957
13151,187584.62820296938
8990,205219.236761728
11857,183204.72378427934
1565,160160.87758690986
8174,121623.1451038399
9247,237311.2190512431
10478,209568.35471954822
15509,148230.24792124872
8306,236892.18355226435
6642,191722.80004563485
7472,185992.86381928172
15989,143888.34901408237
13682,135548.06142913995
163,267753.592873268
7076,180904.3773036183
7478,370998.0087267022
3029,187068.0968717595
1814,139551.21633172026
10057,139230.1292791303
15100,188595.10320113387
12694,222433.7974163456
6291,186880.20252998627
12603,178257.28728554703
3218,238257.89506011878
13456,124484.65646377779
10170,235296.1003645411
4530,162253.74198829284
13329,168700.33050385478
4820,135790.85400121417
10896,170680.58025221888
13416,113526.32987504118
2701,226282.18993669696
11265,328046.604903893
9189,282020.6361166499
1858,171647.2551127004
14536,238220.7382435609
6199,309068.4266356361
14730,153642.10907563232
7510,259534.03833797338
15505,160945.41220582122
7446,183295.50617746086
14016,187982.38549365633
14113,111087.87611974904
8721,311905.7889047697
6193,317344.65036567865
5717,174149.99436458276
5427,282509.9859481421
9520,476749.1661828027
6869,100396.91035183484
1658,155836.4698418121
6639,209394.7251345471
6283,180665.47421169403
6257,119156.69823027129
15235,174450.81919847414
902,298360.42743146064
8932,200473.6645486194
16469,369038.11156651104
2825,252310.560805378
6450,378120.90701540594
11366,184630.13421556912
3801,363033.6408048919
11385,186710.8212182375
1079,197900.17720851314
3202,246514.8526152175
676,210218.21805191934
6185,299459.1553973167
7730,159018.16692490687
2573,181724.23023787144
10978,206261.44228401477
10962,268733.52933730953
8870,199430.18686574596
8496,186287.72117647546
5517,155120.2752220413
927,166037.64994141474
13675,184955.33175706773
1499,243326.09358914525
15536,337846.76256237854
8602,333342.6749945385
12137,411111.65286031534
9865,262089.5829570691
16353,279062.3472277551
15908,219307.09304657663
3944,191526.3086778104
10359,193861.48742948842
15158,209747.94996425096
3259,245655.78850026205
7220,318259.1585486703
13843,215493.2999106057
16736,169053.81969483898
702,241268.4579058541
16401,126549.70360666986
12134,179094.32104916885
6918,201164.7951523863
11792,131031.03907861645
3798,181481.06678651087
10395,133804.45884813153
11099,140755.531300099
7090,202358.04931497347
11260,186716.17189925606
9647,211064.3200537654
2903,374664.4868157839
2071,180647.22502503401
8604,209972.30226747197
9346,197485.11538487152
3945,201399.79185961004
3420,142438.99132506206
10842,128448.62116918812
725,169701.25613418475
13931,196340.6032482158
16330,213424.74043692503
9066,373073.30623153195
3326,300353.8285043726
1556,274320.42302321596
6579,99861.68100193907
13877,151084.3942305031
9857,341252.5570507795
7302,271634.0559271532
5684,185417.7924990021
6513,233245.37670693107
11342,111996.49330693863
16561,249903.49064924236
6885,191188.44057359334
9308,184814.14278659082
2559,190730.28244914778
6648,187523.32319597673
15260,175508.01388338846
